Joint Tag,Target Number,TimeStamp,Elapsed Time,Motion Detected,Motion Threshold,Position X,Position Y,Position Z,Rotation X,Rotation y,Rotation z,Speed,Velocity X,Velocity Y,Velocity Z,Velocity X (orig),Velocity Y (orig),Velocity Z (orig),Acceleration X,Acceleration Y,Acceleration Z,Acceleration Strength,Direction X,Direction Y,Direction Z,Angular Speed,Angular Velocity X,Angular Velocity Y,Angular Velocity Z,Angular Acceleration X,Angular Acceleration Y,Angular Acceleration Z,Angular Acceleration Strength,Angular Axis X,Angular Axis Y,Angular Axis Z
RightWrist,,00:00:00:867,0.87,False,0.08,-1.565898,0.7241237,-1.02919,59.76421,-82.53738,-57.69672,0.02197534,-0.01893358,-0.01103177,0.001653857,0.003631636,0.002141451,-9.934567E-05,-0.009093636,-0.005298462,0.0007943331,0.01055457,-0.8615831,-0.5020066,0.07525966,0,0,0,0,0,0,0,0,-0.6372213,-0.1797746,-0.7494198
RightWrist,,00:00:00:883,0.88,False,0.08,-1.56564,0.7243249,-1.029244,59.76147,-82.53812,-57.69385,0.02508753,0.02169054,0.01246313,-0.001890794,0.02162983,0.01689549,-0.004554175,0.02760195,0.01585976,-0.0024061,0.03192474,0.8645944,0.4967859,-0.07536788,0,0,0,0,0,0,0,0,-0.6372213,-0.1797746,-0.7494198
RightWrist,,00:00:00:900,0.90,False,0.08,-1.565653,0.7242889,-1.029301,59.75481,-82.53763,-57.69733,0.02282714,0.01973622,0.0113402,-0.001720433,-0.003000803,-0.005895571,-0.004644352,-0.01096721,-0.006301634,0.000956027,-0.01268481,0.8645944,0.4967859,-0.07536788,0,0,0,0,0,0,0,0,-0.6372213,-0.1797746,-0.7494198
RightWrist,,00:00:00:917,0.92,False,0.08,-1.565619,0.7243032,-1.029303,59.74508,-82.52606,-57.68823,0.02043309,0.01766633,0.01015087,-0.001539998,0.003097898,0.001304378,-0.0001413076,-0.04672246,-0.02684619,0.004072861,-0.05403975,0.8645944,0.4967859,-0.07536788,0,0,0,0,0,0,0,0,-0.6372213,-0.1797746,-0.7494198
RightWrist,,00:00:00:933,0.93,False,0.08,-1.565246,0.7247043,-1.029304,59.74686,-82.54486,-57.69672,0.01990572,0.01721037,0.009888881,-0.001500252,0.001424005,0.001708806,0.0003797348,-0.0509591,-0.02928051,0.004442174,-0.05893989,0.8645944,0.4967859,-0.07536788,0,0,0,0,0,0,0,0,-0.6372213,-0.1797746,-0.7494198
RightWrist,,00:00:00:950,0.95,False,0.08,-1.565217,0.724787,-1.029343,59.75197,-82.50778,-57.65158,0.01626319,0.01406106,0.008079325,-0.001225722,0.002706697,0.007574387,-0.003536169,-0.05833628,-0.03351935,0.005085254,-0.06747243,0.8645944,0.4967859,-0.07536788,0,0,0,0,0,0,0,0,-0.6372213,-0.1797746,-0.7494198
RightWrist,,00:00:00:967,0.97,False,0.08,-1.565186,0.7248576,-1.029358,59.75655,-82.4975,-57.64832,0.01041985,0.009008945,0.005176436,-0.000785322,0.002038282,0.004313824,-0.0008843339,-0.08174856,-0.04697178,0.007126133,-0.09455134,0.8645944,0.4967859,-0.07536788,0,0,0,0,0,0,0,0,-0.6372213,-0.1797746,-0.7494198
RightWrist,,00:00:00:983,0.98,False,0.08,-1.565156,0.7249,-1.029362,59.75938,-82.49643,-57.64679,0.00996679,0.008617231,0.004951361,-0.0007511757,0.002649757,0.003788408,-0.0003724559,-0.08680786,-0.04987879,0.00756716,-0.100403,0.8645944,0.4967859,-0.07536788,0,0,0,0,0,0,0,0,-0.6372213,-0.1797746,-0.7494198
RightWrist,,00:00:01:000,1.00,False,0.08,-1.565106,0.7249548,-1.029388,59.73936,-82.53525,-57.69095,0.008620817,0.00745351,0.004282701,-0.0006497327,0.002820908,0.001493422,-0.0006326301,-0.09244654,-0.05311872,0.008058691,-0.1069248,0.8645944,0.4967859,-0.07536788,0,0,0,0,0,0,0,0,-0.6372213,-0.1797746,-0.7494198
RightWrist,,00:00:01:017,1.02,False,0.08,-1.565068,0.724977,-1.029393,59.75066,-82.5314,-57.68335,0.007953259,0.006876343,0.003951067,-0.0005994202,0.003569506,0.002061888,-0.0005210148,-0.09051334,-0.05200792,0.007890171,-0.1046888,0.8645944,0.4967859,-0.07536788,0,0,0,0,0,0,0,0,-0.6372213,-0.1797746,-0.7494198
